Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
2,77,6.5,75,1.0,998.0,0,0,3.0,2,
16,67,6.5,45,1.0,1008.69,2,2,5.5,1,
46,94,4.0,90,0.0,1022.88,10,1,12.5,2,
-2,92,1.0,71,2.0,998.01,1,0,1.5,0,
20,50,6.5,21,1.0,1013.93,4,3,6.0,0,
0,64,10.5,78,2.0,994.62,0,0,3.0,2,
22,48,6.0,15,0.0,1020.0,5,1,9.5,0,
29,50,5.5,13,2.0,1002.04,4,3,8.0,0,
4,77,13.0,76,2.0,983.25,1,0,2.5,2,
40,39,9.5,15,0.0,1029.84,8,3,8.0,1,
-3,60,8.0,94,2.0,981.56,1,0,3.0,0,
33,25,4.0,3,1.0,1027.6,11,1,6.5,1,
31,87,11.0,54,1.0,995.87,0,1,3.5,2,
41,72,2.5,26,,973.08,6,1,8.5,0,
33,77,1.0,22,1.0,1018.78,4,0,8.5,2,
-5,68,0.5,96,2.0,992.19,1,0,1.5,2,
-9,90,1.5,97,2.0,999.08,1,0,4.5,2,
1,89,7.5,76,1.0,982.22,1,0,4.5,0,
13,62,14.0,13,2.0,1003.74,1,3,9.0,0,
13,75,9.5,40,2.0,1005.39,2,3,8.0,0,
15,105,7.5,75,2.0,1006.45,10,2,4.0,0,
31,86,13.5,78,2.0,999.25,3,0,4.0,0,
26,60,11.5,50,1.0,995.67,3,2,3.5,0,
44,25,1.0,6,1.0,1016.02,10,2,5.5,1,
28,93,12.5,50,1.0,997.24,0,2,5.0,1,
18,88,15.5,88,2.0,997.61,1,0,3.5,0,
30,77,12.0,51,1.0,1007.88,0,1,3.5,0,
24,50,3.5,10,2.0,1017.18,4,2,6.5,2,
36,32,6.0,2,0.0,1026.15,7,1,7.5,1,
3,75,10.5,73,2.0,980.47,1,0,3.0,2,
35,49,9.0,14,0.0,1010.52,10,3,7.0,1,
26,43,7.0,18,1.0,1024.37,5,2,6.0,2,
16,59,11.5,37,1.0,1004.12,4,2,6.5,2,
38,73,2.5,79,2.0,1034.1,3,3,13.0,2,
34,51,9.0,40,2.0,1009.21,4,1,6.0,1,
33,88,19.0,98,2.0,998.8,2,3,3.0,2,
17,72,20.0,56,2.0,990.4,0,2,4.0,2,
30,58,1.0,43,2.0,1018.95,2,0,6.0,0,
17,69,2.0,35,2.0,1009.83,1,1,8.5,1,
-5,94,9.0,63,2.0,989.82,0,0,5.0,2,
17,64,19.5,95,2.0,1016.54,2,1,5.0,1,
-13,60,9.5,18,1.0,931.79,7,0,5.5,1,
34,88,19.5,73,2.0,1018.01,1,1,4.0,0,
41,90,21.5,103,2.0,1002.15,13,0,4.0,1,
13,77,5.0,68,,1021.09,3,3,8.5,0,
23,35,3.5,12,0.0,1028.43,7,1,8.0,0,
16,96,19.0,57,2.0,1003.05,0,1,4.5,0,
-7,70,8.5,62,2.0,993.19,1,0,2.0,2,
3,90,9.5,87,2.0,997.83,0,0,2.5,2,
39,54,0.0,3,0.0,1024.65,8,3,9.5,0,
21,64,19.0,96,1.0,1006.43,0,0,4.5,1,
38,69,6.5,19,0.0,1011.2,5,1,8.0,1,
-6,81,19.5,66,2.0,995.18,0,0,1.5,0,
10,80,16.5,99,2.0,1005.34,3,1,3.5,1,
23,73,14.5,32,1.0,1002.91,4,3,7.5,2,
38,21,0.0,14,,960.81,2,3,6.0,2,
15,97,12.5,62,2.0,1013.38,2,0,3.0,1,
20,55,2.0,7,0.0,1029.67,9,1,9.0,0,
26,82,18.0,54,1.0,998.36,1,3,3.0,1,
23,60,19.5,62,1.0,1014.54,2,0,4.5,1,
26,68,4.0,39,1.0,1016.39,4,2,5.5,2,
10,99,16.0,58,2.0,995.85,2,3,1.5,2,
20,42,4.0,13,1.0,1028.3,5,3,8.0,2,
-2,32,1.5,17,2.0,930.32,1,0,11.0,1,
-1,94,13.0,74,2.0,981.13,0,0,4.0,0,
28,65,13.5,48,1.0,1013.19,4,2,5.5,2,
-10,94,7.5,98,1.0,989.37,1,0,4.0,2,
41,57,4.0,19,0.0,1025.59,10,1,6.5,1,
34,78,14.5,13,2.0,1014.07,1,2,6.0,2,
33,30,9.5,7,1.0,1019.11,11,1,5.0,1,
28,56,8.5,12,1.0,1013.53,1,0,7.5,1,
49,64,4.0,61,,1130.72,14,0,0.0,1,
28,77,4.5,68,1.0,1175.6,14,3,0.0,1,
34,99,34.0,74,1.0,1016.03,9,3,1.0,0,
-7,97,4.5,73,2.0,987.68,0,0,2.0,2,
78,81,8.0,78,2.0,1010.19,1,3,4.5,0,
25,24,9.5,91,2.0,834.02,13,0,3.5,0,
31,100,15.0,90,0.0,1019.98,8,2,5.0,1,
19,97,9.0,56,2.0,1015.74,3,1,2.0,2,
34,97,17.5,76,2.0,1016.2,1,2,2.5,1,
10,80,17.0,69,2.0,1012.7,3,2,1.5,1,
28,76,0.5,16,1.0,1018.62,4,2,7.5,0,
18,74,0.5,39,2.0,1007.53,1,3,8.5,2,
32,63,3.0,46,1.0,1006.96,1,2,8.5,0,
-7,82,7.5,57,2.0,985.06,0,0,2.5,2,
22,61,8.5,13,1.0,1009.6,2,1,6.5,0,
63,86,13.0,75,0.0,1027.31,14,2,2.5,1,
23,78,15.0,60,2.0,991.36,2,3,4.0,0,
27,83,16.0,53,2.0,1003.68,1,2,2.5,1,
-9,67,13.0,92,2.0,981.36,0,0,2.0,2,
-10,92,17.0,96,2.0,982.06,1,0,4.5,2,
10,68,8.0,99,2.0,1014.01,3,1,1.5,1,
35,33,7.0,5,1.0,1025.51,5,0,7.5,1,
73,82,47.0,107,2.0,1002.73,0,0,0.5,2,
22,89,12.0,85,1.0,1017.54,11,0,2.0,1,
2,86,11.5,64,1.0,999.36,1,0,2.5,2,
30,71,12.0,92,1.0,992.51,2,1,3.0,2,
30,55,5.0,31,1.0,1004.15,2,3,6.5,2,
14,68,11.5,11,2.0,1012.85,2,0,6.5,1,
19,91,18.5,97,2.0,1011.14,0,3,4.0,0,
34,71,4.0,35,2.0,1001.54,3,2,6.5,1,
27,79,14.0,29,1.0,1008.79,1,2,7.5,0,
8,78,34.5,106,1.0,982.66,11,0,3.5,0,
-3,76,10.0,85,2.0,986.77,0,0,3.5,2,
29,107,0.5,93,1.0,1002.18,8,1,10.0,1,
27,54,7.0,11,1.0,1015.78,2,2,6.0,1,
22,95,35.5,87,2.0,998.45,11,0,4.0,1,
24,27,2.0,12,1.0,1015.66,7,1,6.0,0,
33,69,8.0,5,0.0,1026.28,9,3,9.5,0,
28,47,11.5,24,1.0,1105.69,9,3,1.5,0,
32,59,0.5,18,1.0,1016.89,2,1,7.0,0,
-10,72,2.5,96,2.0,988.45,0,0,2.0,2,
28,108,7.5,83,1.0,1018.84,1,2,4.0,0,
27,26,9.0,14,1.0,1018.24,5,0,7.0,0,
-9,71,9.5,83,2.0,996.4,1,0,3.5,0,
28,86,9.5,52,2.0,1005.41,3,3,3.0,1,
-4,64,1.0,85,2.0,993.69,1,0,1.5,0,
25,51,5.0,18,0.0,1019.65,7,3,7.0,1,
12,92,20.0,51,2.0,1010.65,3,1,2.0,2,
-12,22,6.5,71,1.0,1097.74,1,1,9.0,1,
14,65,6.5,26,1.0,1019.03,1,3,6.5,1,
2,71,11.0,66,2.0,984.83,0,0,3.0,2,
43,24,7.0,1,0.0,1020.87,9,2,7.0,0,
-10,84,5.0,75,2.0,990.82,0,0,4.5,2,
1,52,13.5,18,2.0,829.86,14,1,6.5,1,
25,86,11.0,75,2.0,1006.57,0,3,4.0,1,
30,96,4.5,97,1.0,1001.66,1,2,5.5,2,
44,94,9.0,109,0.0,1024.46,2,1,6.5,1,
12,89,17.5,75,2.0,997.65,2,3,2.0,0,
20,48,3.0,10,0.0,1019.81,10,3,9.5,0,
32,71,19.0,92,2.0,1003.24,3,2,2.5,2,
13,79,11.0,63,2.0,990.71,2,1,4.5,1,
-24,84,23.5,80,2.0,984.68,0,0,1.5,2,
22,46,5.0,1,0.0,1014.95,11,2,7.0,2,
25,57,3.5,0,1.0,1016.85,10,2,8.5,0,
-4,69,14.5,56,2.0,994.53,1,0,3.0,2,
-10,72,4.5,72,2.0,1193.57,11,2,13.0,2,
0,73,4.0,90,1.0,993.09,1,0,3.0,0,
41,33,3.5,5,1.0,1021.88,6,1,8.0,1,
35,50,7.0,3,0.0,1011.22,7,3,7.5,1,
14,95,42.5,106,1.0,997.34,6,2,4.0,2,
23,63,5.0,2,0.0,1028.61,9,0,9.0,1,
34,31,9.5,9,0.0,1024.74,10,1,5.5,0,
28,97,12.0,99,1.0,1014.95,2,0,2.5,0,
33,63,8.5,93,2.0,990.33,2,2,3.0,1,
-2,52,13.5,88,,841.43,2,2,1.5,2,
12,88,9.5,76,1.0,990.58,1,1,5.0,2,
11,66,13.5,39,1.0,1005.33,2,2,7.5,1,
19,72,11.0,25,2.0,1009.68,4,1,7.5,2,
18,87,18.0,58,2.0,1001.57,1,2,1.5,0,
15,98,6.0,84,1.0,1014.45,2,3,3.5,1,
13,76,0.0,12,1.0,1006.38,3,1,5.5,0,
34,24,4.0,13,0.0,1020.55,11,2,8.0,1,
-7,89,1.0,63,2.0,993.79,1,0,4.0,2,
-8,98,14.5,94,2.0,989.03,0,0,4.0,0,
1,70,16.5,59,2.0,990.8,1,0,1.5,2,
21,72,19.0,57,2.0,990.71,2,0,2.0,1,
2,105,10.5,109,2.0,990.79,0,0,3.0,2,
21,46,7.5,18,0.0,1012.01,7,2,6.0,1,
-2,72,9.5,98,2.0,991.7,1,0,1.5,2,
31,95,19.0,51,2.0,1013.15,3,1,2.5,2,
24,77,13.5,89,1.0,1019.08,2,2,4.0,0,
26,68,15.0,53,1.0,1014.58,3,0,2.5,0,
60,86,12.0,86,2.0,1003.36,9,3,2.0,0,
22,72,11.0,23,2.0,1015.73,2,0,5.5,0,
48,79,12.0,88,1.0,1140.24,4,3,17.0,2,
32,58,6.5,4,0.0,1023.83,6,2,9.0,2,
-10,63,17.5,70,1.0,993.68,0,0,3.5,2,
26,67,10.0,27,1.0,1002.53,4,2,6.5,0,
35,58,3.0,19,0.0,1015.4,5,0,5.0,2,
11,76,6.0,71,1.0,974.29,7,2,9.0,1,
26,27,5.5,14,1.0,1027.6,7,1,7.5,1,
43,50,8.0,16,1.0,1017.68,5,2,5.5,1,
33,58,8.0,41,2.0,1017.0,2,0,8.0,1,
5,71,9.5,93,2.0,985.82,6,0,6.0,2,
23,62,10.0,20,2.0,1003.85,3,0,9.0,2,
-6,94,2.5,93,2.0,989.21,1,0,1.5,0,
8,87,10.0,104,2.0,998.66,1,0,0.5,2,
-6,106,33.0,82,2.0,995.73,1,0,1.5,2,
31,62,6.0,21,1.0,1015.8,1,3,5.5,0,
32,27,8.0,18,1.0,1010.28,8,1,5.5,0,
51,85,13.5,77,0.0,1025.39,12,3,5.0,2,
20,86,14.0,64,2.0,1000.52,1,3,2.0,1,
22,58,13.5,20,2.0,1003.77,3,0,7.5,2,
15,74,19.0,81,1.0,1017.45,1,2,1.5,0,
11,82,14.5,96,2.0,1014.44,8,3,7.0,0,
19,79,11.0,53,2.0,1016.38,2,1,4.0,2,
-14,48,5.0,74,1.0,1022.96,8,1,5.5,1,
14,80,13.0,78,0.0,1011.38,4,3,1.5,2,
27,73,12.5,26,1.0,1008.72,4,0,6.0,2,
21,25,1.0,14,0.0,1016.38,5,3,7.0,1,
-4,89,15.5,75,1.0,994.04,1,0,2.5,2,
2,70,17.0,96,1.0,992.06,0,0,4.5,0,
-3,98,0.5,60,1.0,991.41,0,0,2.0,2,
42,28,8.0,1,1.0,1019.49,9,1,6.5,2,
18,91,18.0,91,1.0,1000.55,1,3,2.5,1,
10,88,18.5,92,2.0,998.65,6,0,1.5,1,
50,72,31.5,86,1.0,1001.25,6,0,1.0,0,
29,63,11.5,52,2.0,1017.35,2,2,2.0,0,
37,62,6.0,6,0.0,1021.37,11,2,7.0,0,
16,87,14.0,50,2.0,1001.96,0,2,4.5,2,
28,52,13.5,30,1.0,1011.14,3,1,5.0,1,
16,78,15.0,55,2.0,1012.87,0,2,1.0,2,
11,50,14.0,15,2.0,1003.19,4,2,5.5,2,
18,61,5.0,19,1.0,1011.7,2,1,6.5,0,
1,65,8.0,62,2.0,996.55,0,0,5.0,2,
12,70,2.5,43,1.0,1016.35,2,3,6.5,1,
12,22,1.0,66,1.0,858.36,13,0,3.0,0,
12,97,5.5,86,2.0,1005.53,3,0,3.0,2,
3,73,10.5,65,1.0,993.69,1,0,2.5,2,
-7,79,13.0,86,2.0,989.76,0,0,1.5,2,
21,28,7.5,14,0.0,1015.26,10,2,5.5,0,
39,74,9.0,87,2.0,1000.45,7,0,8.0,0,
26,75,17.0,61,2.0,1002.64,0,2,1.0,1,
0,82,17.0,50,2.0,988.71,1,0,4.5,2,
27,69,3.0,33,2.0,1018.37,4,1,6.5,1,
22,21,4.5,19,0.0,1026.59,5,2,5.0,1,
13,75,0.5,33,2.0,1006.64,1,1,8.0,2,
25,74,0.0,33,1.0,1011.2,1,2,8.0,1,
30,81,17.0,51,2.0,995.93,0,3,1.0,0,
15,73,23.0,86,1.0,990.25,2,1,1.0,1,
23,28,5.0,0,1.0,1016.71,11,0,10.0,2,
37,62,3.0,18,0.0,1022.64,10,0,9.0,1,
-8,95,23.5,107,2.0,985.07,5,0,3.5,0,
5,36,14.5,68,,1195.34,1,3,16.0,0,
21,97,19.5,74,2.0,996.4,3,1,3.5,0,
17,51,10.5,21,2.0,1006.16,2,2,8.0,0,
22,71,9.5,55,2.0,1018.77,1,2,3.5,1,
36,66,2.0,13,0.0,1010.25,6,2,6.5,0,
25,65,7.0,0,0.0,1014.06,10,0,5.0,1,
27,55,4.5,35,1.0,1013.66,1,1,5.5,0,
54,106,26.0,83,2.0,992.65,1,0,0.5,0,
28,51,6.5,8,1.0,1011.58,10,3,8.5,2,
34,69,7.5,32,2.0,1019.04,2,1,8.5,2,
2,86,1.5,76,2.0,990.66,1,0,2.5,0,
16,58,7.5,38,1.0,1001.5,1,0,7.5,1,
-7,85,2.0,99,1.0,993.79,0,0,2.5,0,
-3,81,6.0,87,2.0,985.5,0,0,4.5,2,
42,39,7.5,17,1.0,1029.23,5,1,9.5,0,
-5,69,17.0,76,2.0,981.49,1,0,3.5,0,
12,69,17.5,73,2.0,990.32,2,3,2.0,1,
10,58,8.5,40,,1101.7,5,0,18.0,1,
10,98,14.0,97,2.0,1007.79,1,1,4.5,0,
23,28,6.5,7,0.0,1022.75,5,2,8.5,1,
37,109,22.0,94,2.0,1019.37,0,3,1.5,2,
24,79,12.0,12,1.0,1013.39,3,1,6.0,1,
36,96,36.5,91,1.0,996.7,10,0,3.0,2,
44,29,1.0,12,0.0,1012.63,10,3,6.0,0,
47,108,8.0,94,2.0,1003.87,3,2,10.5,2,
70,71,6.5,89,0.0,1028.88,6,3,5.0,2,
30,72,5.5,97,2.0,1011.47,0,1,4.0,1,
10,94,13.5,62,2.0,1005.18,1,3,5.0,1,
28,59,9.0,37,2.0,1004.99,2,1,6.0,0,
39,24,5.5,9,1.0,1025.3,9,0,7.0,1,
16,101,34.5,72,2.0,993.43,14,2,5.0,0,
18,94,2.5,109,1.0,1018.62,11,2,6.0,1,
23,25,10.0,15,0.0,1016.92,7,1,8.5,2,
29,34,0.5,17,0.0,1017.92,10,1,6.0,0,
34,50,7.5,41,1.0,1012.99,2,0,7.0,1,
29,61,14.0,33,2.0,1004.54,3,3,5.5,1,
9,108,27.5,103,1.0,1019.52,10,1,3.0,1,
-6,103,8.0,88,1.0,995.28,5,0,1.5,2,
12,74,16.0,78,2.0,994.11,2,0,2.0,1,
66,83,20.5,109,1.0,1005.29,10,2,6.5,0,
33,34,10.0,2,1.0,1020.04,8,2,9.5,2,
-8,85,9.0,91,1.0,987.23,1,0,2.0,2,
29,95,15.0,56,2.0,1005.12,2,3,3.0,2,
37,50,2.5,9,0.0,1016.98,5,1,7.0,0,
-2,63,7.5,94,2.0,980.74,0,0,1.5,0,
-16,48,9.0,76,,1157.85,8,1,2.5,0,
21,68,3.0,30,1.0,1019.34,1,3,8.0,1,
36,21,4.5,19,0.0,1020.62,6,0,6.5,1,
20,51,3.5,34,1.0,1001.09,4,3,7.0,0,
21,76,7.0,57,2.0,1014.41,3,3,1.5,1,
12,62,5.5,79,1.0,1012.12,4,0,5.5,1,
12,77,4.0,45,1.0,1008.41,4,1,8.5,0,
10,57,8.5,36,1.0,1011.7,4,2,8.0,1,
34,31,5.0,6,0.0,1013.68,7,1,7.0,0,
31,96,14.5,92,2.0,1000.22,12,2,10.0,2,
13,97,8.5,96,2.0,1017.24,3,3,3.5,1,
32,96,6.5,55,2.0,1002.53,2,2,2.5,1,
-15,71,14.5,41,1.0,864.56,13,0,11.5,1,
36,81,7.5,104,2.0,1004.2,8,3,6.0,1,
23,43,5.0,7,0.0,1021.71,6,3,9.0,2,
30,59,5.5,49,1.0,1001.22,1,1,7.5,0,
-2,74,7.0,83,2.0,999.2,0,0,4.0,0,
15,88,11.0,60,1.0,999.44,1,3,3.0,2,
28,71,10.5,79,2.0,998.57,1,3,2.0,1,
0,60,5.0,56,1.0,995.59,1,0,1.5,2,
33,67,4.5,46,2.0,1013.32,4,1,9.0,2,
0,88,4.5,59,2.0,983.67,0,0,4.0,0,
32,68,6.0,1,0.0,1016.28,10,1,9.5,2,
28,66,12.5,45,1.0,1000.76,2,0,9.0,0,
24,66,9.5,47,1.0,1004.79,4,0,5.5,1,
35,48,2.5,16,1.0,1015.9,5,3,7.0,2,
10,44,7.5,28,1.0,933.43,13,1,3.5,2,
-8,63,19.5,52,2.0,983.82,0,0,2.0,0,
21,59,2.5,0,0.0,1017.02,9,3,6.0,0,
11,70,7.0,12,1.0,1005.16,3,3,7.5,1,
39,94,15.5,94,2.0,1010.92,5,3,1.5,2,
-5,87,3.5,52,2.0,985.21,0,0,1.0,0,
20,78,12.5,89,0.0,1016.65,13,3,8.5,2,
17,74,10.5,103,2.0,1018.89,12,3,6.0,0,
27,77,0.0,30,2.0,1008.97,4,2,8.5,2,
39,60,9.5,13,0.0,1013.69,8,1,8.0,1,
1,102,35.0,90,2.0,988.38,5,0,4.0,2,
13,83,7.0,90,2.0,999.27,2,0,1.5,0,
59,106,8.5,109,0.0,1023.39,13,0,9.0,2,
-1,93,13.5,62,2.0,988.34,0,0,3.5,0,
32,66,1.5,33,1.0,1010.87,1,1,8.5,2,
0,78,19.5,85,2.0,998.09,0,0,2.0,2,
-4,61,8.0,73,2.0,990.23,0,0,3.5,2,
-2,94,14.0,60,1.0,991.2,1,0,3.0,0,
42,26,6.5,6,0.0,1011.69,7,2,7.5,0,
11,86,16.0,64,2.0,990.95,2,2,2.5,1,
25,24,7.5,18,0.0,1027.27,5,0,8.5,0,
26,95,12.5,66,2.0,1009.96,1,2,2.5,1,
14,96,16.0,59,2.0,1016.65,2,1,4.0,0,
-6,69,4.0,74,1.0,982.49,1,0,4.0,2,
18,78,3.0,15,1.0,1011.45,2,2,8.5,0,
28,66,4.0,5,0.0,1018.89,7,2,9.0,1,
27,63,2.5,16,1.0,1029.77,11,3,9.5,2,
15,75,6.0,30,1.0,1010.66,2,2,6.5,1,
-5,36,9.0,72,1.0,1089.04,3,0,2.0,0,
-2,68,9.0,97,2.0,988.46,0,0,4.0,2,
31,59,14.5,20,2.0,1001.96,1,1,7.5,2,
29,55,7.0,20,2.0,1019.91,4,1,5.5,0,
18,69,13.5,43,2.0,1003.49,4,2,7.5,2,
17,54,1.5,20,2.0,1015.92,4,0,8.5,1,
32,59,7.5,43,2.0,1010.05,1,3,7.0,1,
